pred_idx,hours_upstream,trAISformer_km,trAISformer_nmi,cv_km,cv_nmi
0,0.0,0.3387,0.1829,1.4404,0.7778
1,0.167,0.3879,0.2094,2.9663,1.6017
2,0.333,0.4647,0.2509,4.5783,2.4721
3,0.5,0.5506,0.2973,6.2773,3.3895
4,0.667,0.6428,0.3471,8.0352,4.3387
5,0.833,0.7601,0.4104,9.832,5.3088
6,1.0,0.8961,0.4839,11.6541,6.2927
7,1.167,1.0151,0.5481,13.4818,7.2796
8,1.333,1.1416,0.6164,15.319,8.2716
9,1.5,1.2586,0.6796,17.1664,9.2691
10,1.667,1.3997,0.7558,19.049,10.2857
11,1.833,1.5315,0.8269,20.9497,11.3119
12,2.0,1.6641,0.8986,22.8575,12.3421
13,2.167,1.8224,0.984,24.7741,13.377
14,2.333,1.9848,1.0717,26.7108,14.4227
15,2.5,2.1685,1.1709,28.695,15.4941
16,2.667,2.353,1.2705,30.7357,16.596
17,2.833,2.5389,1.3709,32.8254,17.7243
18,3.0,2.7447,1.482,34.941,18.8666
19,3.167,2.9121,1.5724,37.084,20.0237
20,3.333,3.0727,1.6591,39.1618,21.1457
21,3.5,3.2629,1.7618,41.2856,22.2924
22,3.667,3.4847,1.8816,43.441,23.4562
23,3.833,3.7023,1.9991,45.5914,24.6174
